Code matériel ;N° de série ;Catégorie ;Modèle ;Marque ;Statut ;Fin de garantie ;Localisation (dernier niveau) ;Entité (dernier niveau) ;Date inventaire ;Date d'installation ;Localisation (complet) ;Entité (complet) 
700267;YKRG032558 ;Ordinateurs de bureau ;ESPRIMO P3520 ;SIEMENS ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
700271;V1CAT47 ;Ecran ;"17 """;SIEMENS ;En service ;;A.B GUERDENE ;AG_B.GUERDANE ;;;A.T.B/*SUD/A.B GUERDENE ;AG/Z.SUD/AG_B.GUERDANE 
700272;FOC1229V4W5 ;Switch ;2960;CISCO ;En service ;;A.B GUERDENE ;AG_B.GUERDANE ;;;A.T.B/*SUD/A.B GUERDENE ;AG/Z.SUD/AG_B.GUERDANE 
700280;404136L ;Ecran ;SyncMaster 713N ;SAMSUNG ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700286;FCZ1029122Z ;Routeur ;1700;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700298;YE7C009908 ;Ecran ;"19 """;SIEMENS ;En service ;;A.B GUERDENE ;AG_B.GUERDANE ;;;A.T.B/*SUD/A.B GUERDENE ;AG/Z.SUD/AG_B.GUERDANE 
700299;YEGG040698 ;Ecran ;"15 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700344;YV3N055202 ;Ecran ;L20T-2LED   ;SIEMENS ;En service ;;ETAGE 2 ;D.C.OPERATIONS ;;;A.T.B/LOC3(Med V)/ETAGE 2 ;DIR/D.C.OPERATIONS 
700409;KDRVTYT ;Serveur ;X3650 ;IBM ;En service ;;ETAGE 3 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 3 ;DIR/D.C.SYS.INFOR 
700411;23X6611 ;Ecran ;"17 """;SIEMENS ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
700417;YEGG040711 ;Ecran ;"15 """;SIEMENS ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
